ke, gpe, t
0.001563, 0.142341, 0.000000
0.001570, 0.142340, 1.000000
0.001580, 0.142340, 2.000000
0.001576, 0.142340, 3.000000
0.001562, 0.142340, 4.000000
0.001556, 0.142340, 5.000000
0.001563, 0.142340, 6.000000
0.001573, 0.142339, 7.000000
0.001567, 0.142339, 8.000000
0.001554, 0.142340, 9.000000
0.001550, 0.142340, 10.000000
0.001559, 0.142339, 11.000000
0.001566, 0.142338, 12.000000
0.001559, 0.142339, 13.000000
0.001545, 0.142339, 14.000000
0.001543, 0.142339, 15.000000
0.001553, 0.142338, 16.000000
0.001559, 0.142338, 17.000000
0.001549, 0.142338, 18.000000
0.001536, 0.142339, 19.000000
0.001536, 0.142339, 20.000000
0.001546, 0.142338, 21.000000
0.001549, 0.142337, 22.000000
0.001537, 0.142338, 23.000000
0.001525, 0.142338, 24.000000
0.001527, 0.142338, 25.000000
0.001537, 0.142337, 26.000000
0.001537, 0.142337, 27.000000
0.001524, 0.142338, 28.000000
0.001514, 0.142338, 29.000000
0.001517, 0.142338, 30.000000
0.001525, 0.142337, 31.000000
0.001523, 0.142337, 32.000000
0.001511, 0.142337, 33.000000
0.001502, 0.142338, 34.000000
0.001506, 0.142337, 35.000000
0.001514, 0.142337, 36.000000
0.001511, 0.142337, 37.000000
0.001498, 0.142337, 38.000000
0.001491, 0.142337, 39.000000
0.001497, 0.142337, 40.000000
0.001505, 0.142336, 41.000000
0.001500, 0.142336, 42.000000
0.001487, 0.142337, 43.000000
0.001482, 0.142337, 44.000000
0.001490, 0.142336, 45.000000
0.001496, 0.142336, 46.000000
0.001490, 0.142336, 47.000000
0.001478, 0.142336, 48.000000
0.001475, 0.142336, 49.000000
0.001484, 0.142335, 50.000000
0.001489, 0.142335, 51.000000
0.001481, 0.142335, 52.000000
0.001469, 0.142336, 53.000000
0.001468, 0.142335, 54.000000
0.001477, 0.142335, 55.000000
0.001480, 0.142334, 56.000000
0.001471, 0.142335, 57.000000
0.001460, 0.142335, 58.000000
0.001461, 0.142335, 59.000000
0.001469, 0.142334, 60.000000
0.001470, 0.142334, 61.000000
0.001460, 0.142334, 62.000000
0.001450, 0.142335, 63.000000
0.001451, 0.142334, 64.000000
0.001459, 0.142334, 65.000000
0.001458, 0.142333, 66.000000
0.001447, 0.142334, 67.000000
0.001438, 0.142334, 68.000000
0.001440, 0.142334, 69.000000
0.001448, 0.142333, 70.000000
0.001446, 0.142333, 71.000000
0.001434, 0.142334, 72.000000
0.001426, 0.142334, 73.000000
0.001429, 0.142333, 74.000000
0.001436, 0.142333, 75.000000
0.001433, 0.142333, 76.000000
0.001421, 0.142333, 77.000000
0.001415, 0.142333, 78.000000
0.001419, 0.142333, 79.000000
0.001425, 0.142332, 80.000000
0.001421, 0.142332, 81.000000
0.001410, 0.142333, 82.000000
0.001405, 0.142333, 83.000000
0.001411, 0.142332, 84.000000
0.001416, 0.142332, 85.000000
0.001412, 0.142332, 86.000000
0.001400, 0.142332, 87.000000
0.001397, 0.142332, 88.000000
0.001403, 0.142332, 89.000000
0.001408, 0.142331, 90.000000
0.001402, 0.142331, 91.000000
0.001391, 0.142332, 92.000000
0.001389, 0.142332, 93.000000
0.001396, 0.142331, 94.000000
0.001400, 0.142331, 95.000000
0.001392, 0.142331, 96.000000
0.001382, 0.142331, 97.000000
0.001381, 0.142331, 98.000000
0.001388, 0.142330, 99.000000
0.001390, 0.142330, 100.000000
