ke, gpe, t
0.001563, 0.142341, 0.000000
0.001567, 0.142340, 1.000000
0.001575, 0.142339, 2.000000
0.001569, 0.142339, 3.000000
0.001553, 0.142340, 4.000000
0.001544, 0.142340, 5.000000
0.001550, 0.142339, 6.000000
0.001556, 0.142338, 7.000000
0.001548, 0.142338, 8.000000
0.001532, 0.142339, 9.000000
0.001526, 0.142339, 10.000000
0.001533, 0.142338, 11.000000
0.001537, 0.142337, 12.000000
0.001527, 0.142337, 13.000000
0.001512, 0.142338, 14.000000
0.001508, 0.142337, 15.000000
0.001515, 0.142337, 16.000000
0.001516, 0.142336, 17.000000
0.001505, 0.142336, 18.000000
0.001491, 0.142336, 19.000000
0.001488, 0.142336, 20.000000
0.001494, 0.142335, 21.000000
0.001493, 0.142335, 22.000000
0.001480, 0.142335, 23.000000
0.001467, 0.142335, 24.000000
0.001466, 0.142335, 25.000000
0.001471, 0.142334, 26.000000
0.001469, 0.142334, 27.000000
0.001455, 0.142334, 28.000000
0.001443, 0.142334, 29.000000
0.001443, 0.142334, 30.000000
0.001447, 0.142333, 31.000000
0.001443, 0.142333, 32.000000
0.001429, 0.142333, 33.000000
0.001419, 0.142333, 34.000000
0.001420, 0.142333, 35.000000
0.001424, 0.142332, 36.000000
0.001418, 0.142332, 37.000000
0.001405, 0.142332, 38.000000
0.001396, 0.142332, 39.000000
0.001398, 0.142332, 40.000000
0.001402, 0.142331, 41.000000
0.001395, 0.142331, 42.000000
0.001382, 0.142331, 43.000000
0.001375, 0.142331, 44.000000
0.001378, 0.142331, 45.000000
0.001381, 0.142330, 46.000000
0.001373, 0.142330, 47.000000
0.001361, 0.142330, 48.000000
0.001355, 0.142330, 49.000000
0.001359, 0.142329, 50.000000
0.001360, 0.142329, 51.000000
0.001351, 0.142329, 52.000000
0.001339, 0.142329, 53.000000
0.001335, 0.142329, 54.000000
0.001338, 0.142328, 55.000000
0.001338, 0.142328, 56.000000
0.001329, 0.142328, 57.000000
0.001316, 0.142328, 58.000000
0.001312, 0.142328, 59.000000
0.001315, 0.142327, 60.000000
0.001314, 0.142326, 61.000000
0.001304, 0.142327, 62.000000
0.001292, 0.142327, 63.000000
0.001288, 0.142326, 64.000000
0.001291, 0.142326, 65.000000
0.001289, 0.142325, 66.000000
0.001279, 0.142326, 67.000000
0.001267, 0.142326, 68.000000
0.001264, 0.142325, 69.000000
0.001267, 0.142325, 70.000000
0.001265, 0.142324, 71.000000
0.001254, 0.142325, 72.000000
0.001243, 0.142325, 73.000000
0.001241, 0.142324, 74.000000
0.001244, 0.142324, 75.000000
0.001241, 0.142323, 76.000000
0.001230, 0.142323, 77.000000
0.001220, 0.142323, 78.000000
0.001219, 0.142323, 79.000000
0.001222, 0.142322, 80.000000
0.001218, 0.142322, 81.000000
0.001208, 0.142322, 82.000000
0.001199, 0.142322, 83.000000
0.001198, 0.142322, 84.000000
0.001200, 0.142321, 85.000000
0.001196, 0.142321, 86.000000
0.001186, 0.142321, 87.000000
0.001177, 0.142321, 88.000000
0.001177, 0.142321, 89.000000
0.001179, 0.142320, 90.000000
0.001174, 0.142320, 91.000000
0.001163, 0.142320, 92.000000
0.001155, 0.142320, 93.000000
0.001155, 0.142319, 94.000000
0.001156, 0.142319, 95.000000
0.001150, 0.142319, 96.000000
0.001139, 0.142319, 97.000000
0.001132, 0.142319, 98.000000
0.001131, 0.142318, 99.000000
0.001131, 0.142318, 100.000000
