"Time","layer","Points:0","Points:1","Points:2","u.x","u.z","eta"
100.000000, 0, -0.392082, 0.000000, -0.496477, -0.000263, -0.002971, -0.002952
100.000000, 1, -0.392082, 0.000000, -0.324781, -0.000679, -0.013049, -0.002952
100.000000, 2, -0.392082, 0.000000, -0.211712, -0.002837, -0.031347, -0.002952
100.000000, 3, -0.392082, 0.000000, -0.137252, -0.003350, -0.055645, -0.002952
100.000000, 4, -0.392082, 0.000000, -0.088218, -0.006161, -0.081014, -0.002952
100.000000, 5, -0.392082, 0.000000, -0.055927, -0.011934, -0.102882, -0.002952
100.000000, 6, -0.392082, 0.000000, -0.034662, -0.021928, -0.119794, -0.002952
100.000000, 7, -0.392082, 0.000000, -0.020659, -0.029444, -0.132470, -0.002952
100.000000, 8, -0.392082, 0.000000, -0.011437, -0.030466, -0.141840, -0.002952
100.000000, 9, -0.392082, 0.000000, -0.005364, -0.027609, -0.149040, -0.002952
100.000000, 0, -0.385907, 0.000000, -0.496317, -0.000092, -0.002980, -0.002027
100.000000, 1, -0.385907, 0.000000, -0.324354, -0.000038, -0.013129, -0.002027
100.000000, 2, -0.385907, 0.000000, -0.211110, -0.001328, -0.031613, -0.002027
100.000000, 3, -0.385907, 0.000000, -0.136535, -0.000657, -0.056205, -0.002027
100.000000, 4, -0.385907, 0.000000, -0.087425, -0.002216, -0.081922, -0.002027
100.000000, 5, -0.385907, 0.000000, -0.055084, -0.006936, -0.104113, -0.002027
100.000000, 6, -0.385907, 0.000000, -0.033786, -0.015986, -0.121322, -0.002027
100.000000, 7, -0.385907, 0.000000, -0.019761, -0.022705, -0.134285, -0.002027
100.000000, 8, -0.385907, 0.000000, -0.010525, -0.023194, -0.143843, -0.002027
100.000000, 9, -0.385907, 0.000000, -0.004442, -0.019966, -0.151062, -0.002027
100.000000, 0, -0.379733, 0.000000, -0.496154, 0.000080, -0.002982, -0.001087
100.000000, 1, -0.379733, 0.000000, -0.323921, 0.000608, -0.013178, -0.001087
100.000000, 2, -0.379733, 0.000000, -0.210499, 0.000199, -0.031806, -0.001087
100.000000, 3, -0.379733, 0.000000, -0.135806, 0.002075, -0.056639, -0.001087
100.000000, 4, -0.379733, 0.000000, -0.086619, 0.001793, -0.082643, -0.001087
100.000000, 5, -0.379733, 0.000000, -0.054227, -0.001850, -0.105099, -0.001087
100.000000, 6, -0.379733, 0.000000, -0.032896, -0.009920, -0.122549, -0.001087
100.000000, 7, -0.379733, 0.000000, -0.018848, -0.015821, -0.135764, -0.001087
100.000000, 8, -0.379733, 0.000000, -0.009598, -0.015767, -0.145518, -0.001087
100.000000, 9, -0.379733, 0.000000, -0.003506, -0.012168, -0.152773, -0.001087
100.000000, 0, -0.373558, 0.000000, -0.495988, 0.000252, -0.002978, -0.000134
100.000000, 1, -0.373558, 0.000000, -0.323481, 0.001257, -0.013197, -0.000134
100.000000, 2, -0.373558, 0.000000, -0.209879, 0.001740, -0.031925, -0.000134
100.000000, 3, -0.373558, 0.000000, -0.135068, 0.004840, -0.056941, -0.000134
100.000000, 4, -0.373558, 0.000000, -0.085802, 0.005857, -0.083171, -0.000134
100.000000, 5, -0.373558, 0.000000, -0.053359, 0.003317, -0.105831, -0.000134
100.000000, 6, -0.373558, 0.000000, -0.031994, -0.003737, -0.123464, -0.000134
100.000000, 7, -0.373558, 0.000000, -0.017924, -0.008802, -0.136887, -0.000134
100.000000, 8, -0.373558, 0.000000, -0.008658, -0.008185, -0.146843, -0.000134
100.000000, 9, -0.373558, 0.000000, -0.002557, -0.004207, -0.154153, -0.000134
100.000000, 0, -0.367384, 0.000000, -0.495822, 0.000423, -0.002967, 0.000828
100.000000, 1, -0.367384, 0.000000, -0.323038, 0.001908, -0.013185, 0.000828
100.000000, 2, -0.367384, 0.000000, -0.209253, 0.003291, -0.031969, 0.000828
100.000000, 3, -0.367384, 0.000000, -0.134322, 0.007632, -0.057107, 0.000828
100.000000, 4, -0.367384, 0.000000, -0.084977, 0.009969, -0.083496, 0.000828
100.000000, 5, -0.367384, 0.000000, -0.052482, 0.008554, -0.106304, 0.000828
100.000000, 6, -0.367384, 0.000000, -0.031082, 0.002538, -0.124061, 0.000828
100.000000, 7, -0.367384, 0.000000, -0.016990, -0.001673, -0.137645, 0.000828
100.000000, 8, -0.367384, 0.000000, -0.007710, -0.000473, -0.147797, 0.000828
100.000000, 9, -0.367384, 0.000000, -0.001598, 0.003895, -0.155182, 0.000828
100.000000, 0, -0.361209, 0.000000, -0.495654, 0.000593, -0.002950, 0.001797
100.000000, 1, -0.361209, 0.000000, -0.322591, 0.002560, -0.013142, 0.001797
100.000000, 2, -0.361209, 0.000000, -0.208623, 0.004850, -0.031936, 0.001797
100.000000, 3, -0.361209, 0.000000, -0.133571, 0.010445, -0.057134, 0.001797
100.000000, 4, -0.361209, 0.000000, -0.084147, 0.014120, -0.083614, 0.001797
100.000000, 5, -0.361209, 0.000000, -0.051599, 0.013850, -0.106505, 0.001797
100.000000, 6, -0.361209, 0.000000, -0.030165, 0.008890, -0.124328, 0.001797
100.000000, 7, -0.361209, 0.000000, -0.016050, 0.005545, -0.138029, 0.001797
100.000000, 8, -0.361209, 0.000000, -0.006754, 0.007352, -0.148364, 0.001797
100.000000, 9, -0.361209, 0.000000, -0.000633, 0.012122, -0.155843, 0.001797
100.000000, 0, -0.355035, 0.000000, -0.495485, 0.000762, -0.002925, 0.002770
100.000000, 1, -0.355035, 0.000000, -0.322143, 0.003210, -0.013067, 0.002770
100.000000, 2, -0.355035, 0.000000, -0.207990, 0.006411, -0.031825, 0.002770
100.000000, 3, -0.355035, 0.000000, -0.132817, 0.013273, -0.057019, 0.002770
100.000000, 4, -0.355035, 0.000000, -0.083313, 0.018299, -0.083520, 0.002770
100.000000, 5, -0.355035, 0.000000, -0.050712, 0.019192, -0.106429, 0.002770
100.000000, 6, -0.355035, 0.000000, -0.029243, 0.015301, -0.124258, 0.002770
100.000000, 7, -0.355035, 0.000000, -0.015106, 0.012833, -0.138032, 0.002770
100.000000, 8, -0.355035, 0.000000, -0.005795, 0.015267, -0.148534, 0.002770
100.000000, 9, -0.355035, 0.000000, 0.000336, 0.020453, -0.156119, 0.002770
100.000000, 0, -0.348860, 0.000000, -0.495316, 0.000929, -0.002894, 0.003744
100.000000, 1, -0.348860, 0.000000, -0.321694, 0.003857, -0.012961, 0.003744
100.000000, 2, -0.348860, 0.000000, -0.207357, 0.007973, -0.031635, 0.003744
100.000000, 3, -0.348860, 0.000000, -0.132062, 0.016107, -0.056757, 0.003744
100.000000, 4, -0.348860, 0.000000, -0.082478, 0.022496, -0.083207, 0.003744
