"Time","layer","Points:0","Points:1","Points:2","u.x","u.z","eta"
0.000000, 0, -0.393625, 0.000000, -0.539523, -0.003327, -0.000018, -0.019867
0.000000, 1, -0.393625, 0.000000, -0.431020, -0.006091, -0.000065, -0.019867
0.000000, 2, -0.393625, 0.000000, -0.344855, -0.011509, -0.000136, -0.019867
0.000000, 3, -0.393625, 0.000000, -0.276431, -0.019604, -0.000238, -0.019867
0.000000, 4, -0.393625, 0.000000, -0.222094, -0.030096, -0.000368, -0.019867
0.000000, 5, -0.393625, 0.000000, -0.178944, -0.042360, -0.000519, -0.019867
0.000000, 6, -0.393625, 0.000000, -0.144677, -0.055596, -0.000681, -0.019867
0.000000, 7, -0.393625, 0.000000, -0.117466, -0.069005, -0.000846, -0.019867
0.000000, 8, -0.393625, 0.000000, -0.095857, -0.081928, -0.001005, -0.019867
0.000000, 9, -0.393625, 0.000000, -0.078697, -0.093896, -0.001152, -0.019867
0.000000, 10, -0.393625, 0.000000, -0.065070, -0.104634, -0.001284, -0.019867
0.000000, 11, -0.393625, 0.000000, -0.054248, -0.114031, -0.001399, -0.019867
0.000000, 12, -0.393625, 0.000000, -0.045654, -0.122091, -0.001498, -0.019867
0.000000, 13, -0.393625, 0.000000, -0.038830, -0.128896, -0.001581, -0.019867
0.000000, 14, -0.393625, 0.000000, -0.033411, -0.134569, -0.001651, -0.019867
0.000000, 15, -0.393625, 0.000000, -0.029107, -0.139252, -0.001709, -0.019867
0.000000, 16, -0.393625, 0.000000, -0.025690, -0.143086, -0.001756, -0.019867
0.000000, 17, -0.393625, 0.000000, -0.022976, -0.146206, -0.001794, -0.019867
0.000000, 18, -0.393625, 0.000000, -0.020821, -0.148732, -0.001825, -0.019867
0.000000, 0, -0.390538, 0.000000, -0.539522, -0.003325, -0.000055, -0.019855
0.000000, 1, -0.390538, 0.000000, -0.431016, -0.006088, -0.000196, -0.019855
0.000000, 2, -0.390538, 0.000000, -0.344850, -0.011502, -0.000409, -0.019855
0.000000, 3, -0.390538, 0.000000, -0.276424, -0.019594, -0.000713, -0.019855
0.000000, 4, -0.390538, 0.000000, -0.222086, -0.030079, -0.001102, -0.019855
0.000000, 5, -0.390538, 0.000000, -0.178935, -0.042337, -0.001556, -0.019855
0.000000, 6, -0.390538, 0.000000, -0.144668, -0.055566, -0.002044, -0.019855
0.000000, 7, -0.390538, 0.000000, -0.117456, -0.068969, -0.002538, -0.019855
0.000000, 8, -0.390538, 0.000000, -0.095847, -0.081885, -0.003014, -0.019855
0.000000, 9, -0.390538, 0.000000, -0.078686, -0.093847, -0.003455, -0.019855
