"Time","layer","Points:0","Points:1","Points:2","u.x","u.z","eta"
100.000000, 0, -0.393625, 0.000000, -0.540046, 0.000297, -0.001295, 0.000583
100.000000, 1, -0.393625, 0.000000, -0.431960, 0.000625, -0.004542, 0.000583
100.000000, 2, -0.393625, 0.000000, -0.345187, 0.001126, -0.009527, 0.000583
100.000000, 3, -0.393625, 0.000000, -0.275524, 0.001788, -0.016772, 0.000583
100.000000, 4, -0.393625, 0.000000, -0.219597, 0.002508, -0.026293, 0.000583
100.000000, 5, -0.393625, 0.000000, -0.174698, 0.003272, -0.037718, 0.000583
100.000000, 6, -0.393625, 0.000000, -0.138653, 0.004049, -0.050425, 0.000583
100.000000, 7, -0.393625, 0.000000, -0.109715, 0.004541, -0.063774, 0.000583
100.000000, 8, -0.393625, 0.000000, -0.086483, 0.004492, -0.077159, 0.000583
100.000000, 9, -0.393625, 0.000000, -0.067832, 0.003934, -0.090070, 0.000583
100.000000, 10, -0.393625, 0.000000, -0.052859, 0.003070, -0.102103, 0.000583
100.000000, 11, -0.393625, 0.000000, -0.040838, 0.002196, -0.112915, 0.000583
100.000000, 12, -0.393625, 0.000000, -0.031187, 0.001455, -0.122251, 0.000583
100.000000, 13, -0.393625, 0.000000, -0.023440, 0.000958, -0.129905, 0.000583
100.000000, 14, -0.393625, 0.000000, -0.017220, 0.000769, -0.135738, 0.000583
100.000000, 15, -0.393625, 0.000000, -0.012226, 0.000997, -0.139728, 0.000583
100.000000, 16, -0.393625, 0.000000, -0.008217, 0.001262, -0.142040, 0.000583
100.000000, 17, -0.393625, 0.000000, -0.004999, 0.001069, -0.142989, 0.000583
100.000000, 18, -0.393625, 0.000000, -0.002415, -0.000012, -0.142936, 0.000583
100.000000, 19, -0.393625, 0.000000, -0.000341, -0.002823, -0.142222, 0.000583
100.000000, 0, -0.390538, 0.000000, -0.540023, 0.000364, -0.001291, 0.000819
100.000000, 1, -0.390538, 0.000000, -0.431894, 0.000751, -0.004531, 0.000819
100.000000, 2, -0.390538, 0.000000, -0.345087, 0.001369, -0.009509, 0.000819
100.000000, 3, -0.390538, 0.000000, -0.275396, 0.002209, -0.016748, 0.000819
100.000000, 4, -0.390538, 0.000000, -0.219448, 0.003168, -0.026267, 0.000819
100.000000, 5, -0.390538, 0.000000, -0.174531, 0.004220, -0.037698, 0.000819
100.000000, 6, -0.390538, 0.000000, -0.138471, 0.005321, -0.050419, 0.000819
100.000000, 7, -0.390538, 0.000000, -0.109522, 0.006165, -0.063792, 0.000819
100.000000, 8, -0.390538, 0.000000, -0.086281, 0.006470, -0.077205, 0.000819
100.000000, 9, -0.390538, 0.000000, -0.067623, 0.006264, -0.090145, 0.000819
100.000000, 10, -0.390538, 0.000000, -0.052644, 0.005714, -0.102191, 0.000819
100.000000, 11, -0.390538, 0.000000, -0.040618, 0.005087, -0.112977, 0.000819
100.000000, 12, -0.390538, 0.000000, -0.030964, 0.004467, -0.122217, 0.000819
100.000000, 13, -0.390538, 0.000000, -0.023213, 0.003892, -0.129687, 0.000819
100.000000, 14, -0.390538, 0.000000, -0.016991, 0.003366, -0.135257, 0.000819
100.000000, 15, -0.390538, 0.000000, -0.011995, 0.002955, -0.138915, 0.000819
100.000000, 16, -0.390538, 0.000000, -0.007985, 0.002315, -0.140838, 0.000819
100.000000, 17, -0.390538, 0.000000, -0.004765, 0.001054, -0.141361, 0.000819
100.000000, 18, -0.390538, 0.000000, -0.002180, -0.001247, -0.140877, 0.000819
100.000000, 19, -0.390538, 0.000000, -0.000105, -0.005406, -0.139731, 0.000819
100.000000, 0, -0.387451, 0.000000, -0.540001, 0.000430, -0.001287, 0.001030
100.000000, 1, -0.387451, 0.000000, -0.431835, 0.000876, -0.004516, 0.001030
100.000000, 2, -0.387451, 0.000000, -0.344997, 0.001612, -0.009483, 0.001030
100.000000, 3, -0.387451, 0.000000, -0.275282, 0.002629, -0.016711, 0.001030
100.000000, 4, -0.387451, 0.000000, -0.219314, 0.003828, -0.026221, 0.001030
100.000000, 5, -0.387451, 0.000000, -0.174381, 0.005168, -0.037648, 0.001030
100.000000, 6, -0.387451, 0.000000, -0.138309, 0.006596, -0.050374, 0.001030
100.000000, 7, -0.387451, 0.000000, -0.109349, 0.007792, -0.063757, 0.001030
100.000000, 8, -0.387451, 0.000000, -0.086100, 0.008453, -0.077185, 0.001030
100.000000, 9, -0.387451, 0.000000, -0.067435, 0.008601, -0.090140, 0.001030
