"Time","layer","Points:0","Points:1","Points:2","u.x","u.z","eta"
100.000000, 0, -0.393625, 0.000000, -0.538962, 0.001874, -0.000881, 0.011438
100.000000, 1, -0.393625, 0.000000, -0.428923, 0.003646, -0.003123, 0.011438
100.000000, 2, -0.393625, 0.000000, -0.340581, 0.007034, -0.006625, 0.011438
100.000000, 3, -0.393625, 0.000000, -0.269659, 0.012185, -0.011747, 0.011438
100.000000, 4, -0.393625, 0.000000, -0.212722, 0.019028, -0.018480, 0.011438
100.000000, 5, -0.393625, 0.000000, -0.167011, 0.027330, -0.026489, 0.011438
100.000000, 6, -0.393625, 0.000000, -0.130314, 0.036691, -0.035269, 0.011438
100.000000, 7, -0.393625, 0.000000, -0.100853, 0.046375, -0.044306, 0.011438
100.000000, 8, -0.393625, 0.000000, -0.077201, 0.055688, -0.053162, 0.011438
100.000000, 9, -0.393625, 0.000000, -0.058213, 0.064320, -0.061403, 0.011438
100.000000, 10, -0.393625, 0.000000, -0.042969, 0.072362, -0.068587, 0.011438
100.000000, 11, -0.393625, 0.000000, -0.030731, 0.079405, -0.074411, 0.011438
100.000000, 12, -0.393625, 0.000000, -0.020906, 0.085221, -0.078589, 0.011438
100.000000, 13, -0.393625, 0.000000, -0.013019, 0.089948, -0.080975, 0.011438
100.000000, 14, -0.393625, 0.000000, -0.006686, 0.093517, -0.081824, 0.011438
100.000000, 15, -0.393625, 0.000000, -0.001602, 0.095635, -0.081650, 0.011438
100.000000, 16, -0.393625, 0.000000, 0.002479, 0.095492, -0.080972, 0.011438
100.000000, 17, -0.393625, 0.000000, 0.005755, 0.092309, -0.080273, 0.011438
100.000000, 18, -0.393625, 0.000000, 0.008386, 0.086702, -0.079656, 0.011438
100.000000, 19, -0.393625, 0.000000, 0.010498, 0.074628, -0.079189, 0.011438
100.000000, 0, -0.390538, 0.000000, -0.538952, 0.001918, -0.000859, 0.011543
100.000000, 1, -0.390538, 0.000000, -0.428894, 0.003731, -0.003044, 0.011543
100.000000, 2, -0.390538, 0.000000, -0.340537, 0.007202, -0.006458, 0.011543
100.000000, 3, -0.390538, 0.000000, -0.269602, 0.012477, -0.011450, 0.011543
100.000000, 4, -0.390538, 0.000000, -0.212655, 0.019488, -0.018009, 0.011543
100.000000, 5, -0.390538, 0.000000, -0.166937, 0.027983, -0.025812, 0.011543
100.000000, 6, -0.390538, 0.000000, -0.130234, 0.037554, -0.034356, 0.011543
100.000000, 7, -0.390538, 0.000000, -0.100768, 0.047451, -0.043139, 0.011543
100.000000, 8, -0.390538, 0.000000, -0.077112, 0.056985, -0.051726, 0.011543
100.000000, 9, -0.390538, 0.000000, -0.058120, 0.065775, -0.059711, 0.011543
100.000000, 10, -0.390538, 0.000000, -0.042874, 0.073879, -0.066644, 0.011543
100.000000, 11, -0.390538, 0.000000, -0.030634, 0.080864, -0.072225, 0.011543
