"Time","layer","Points:0","Points:1","Points:2","u.x","u.z","eta"
0.000000, 0, -0.393625, 0.000000, -0.542087, -0.003297, -0.000017, -0.019867
0.000000, 1, -0.393625, 0.000000, -0.437682, -0.005818, -0.000061, -0.019867
0.000000, 2, -0.393625, 0.000000, -0.353863, -0.010742, -0.000127, -0.019867
0.000000, 3, -0.393625, 0.000000, -0.286572, -0.018104, -0.000219, -0.019867
0.000000, 4, -0.393625, 0.000000, -0.232550, -0.027707, -0.000338, -0.019867
0.000000, 5, -0.393625, 0.000000, -0.189179, -0.039058, -0.000478, -0.019867
0.000000, 6, -0.393625, 0.000000, -0.154361, -0.051482, -0.000631, -0.019867
0.000000, 7, -0.393625, 0.000000, -0.126408, -0.064274, -0.000788, -0.019867
0.000000, 8, -0.393625, 0.000000, -0.103968, -0.076815, -0.000942, -0.019867
0.000000, 9, -0.393625, 0.000000, -0.085952, -0.088636, -0.001087, -0.019867
0.000000, 10, -0.393625, 0.000000, -0.071488, -0.099431, -0.001220, -0.019867
0.000000, 11, -0.393625, 0.000000, -0.059877, -0.109043, -0.001338, -0.019867
0.000000, 12, -0.393625, 0.000000, -0.050555, -0.117428, -0.001441, -0.019867
0.000000, 13, -0.393625, 0.000000, -0.043071, -0.124624, -0.001529, -0.019867
0.000000, 14, -0.393625, 0.000000, -0.037063, -0.130719, -0.001604, -0.019867
0.000000, 15, -0.393625, 0.000000, -0.032239, -0.135828, -0.001667, -0.019867
0.000000, 16, -0.393625, 0.000000, -0.028367, -0.140073, -0.001719, -0.019867
0.000000, 17, -0.393625, 0.000000, -0.025258, -0.143578, -0.001762, -0.019867
0.000000, 18, -0.393625, 0.000000, -0.022762, -0.146454, -0.001797, -0.019867
0.000000, 19, -0.393625, 0.000000, -0.020759, -0.148805, -0.001826, -0.019867
0.000000, 0, -0.390538, 0.000000, -0.542086, -0.003296, -0.000052, -0.019855
0.000000, 1, -0.390538, 0.000000, -0.437678, -0.005815, -0.000184, -0.019855
0.000000, 2, -0.390538, 0.000000, -0.353858, -0.010736, -0.000380, -0.019855
0.000000, 3, -0.390538, 0.000000, -0.286566, -0.018094, -0.000657, -0.019855
0.000000, 4, -0.390538, 0.000000, -0.232542, -0.027692, -0.001014, -0.019855
0.000000, 5, -0.390538, 0.000000, -0.189171, -0.039037, -0.001434, -0.019855
0.000000, 6, -0.390538, 0.000000, -0.154352, -0.051455, -0.001892, -0.019855
0.000000, 7, -0.390538, 0.000000, -0.126399, -0.064240, -0.002364, -0.019855
0.000000, 8, -0.390538, 0.000000, -0.103958, -0.076775, -0.002826, -0.019855
0.000000, 9, -0.390538, 0.000000, -0.085941, -0.088590, -0.003261, -0.019855
0.000000, 10, -0.390538, 0.000000, -0.071478, -0.099379, -0.003659, -0.019855
0.000000, 11, -0.390538, 0.000000, -0.059866, -0.108986, -0.004013, -0.019855
0.000000, 12, -0.390538, 0.000000, -0.050544, -0.117367, -0.004321, -0.019855
0.000000, 13, -0.390538, 0.000000, -0.043060, -0.124560, -0.004586, -0.019855
0.000000, 14, -0.390538, 0.000000, -0.037052, -0.130652, -0.004811, -0.019855
0.000000, 15, -0.390538, 0.000000, -0.032228, -0.135758, -0.004999, -0.019855
0.000000, 16, -0.390538, 0.000000, -0.028356, -0.140002, -0.005155, -0.019855
0.000000, 17, -0.390538, 0.000000, -0.025247, -0.143504, -0.005284, -0.019855
0.000000, 18, -0.390538, 0.000000, -0.022751, -0.146379, -0.005390, -0.019855
0.000000, 19, -0.390538, 0.000000, -0.020747, -0.148729, -0.005477, -0.019855
0.000000, 0, -0.387451, 0.000000, -0.542084, -0.003292, -0.000087, -0.019832
0.000000, 1, -0.387451, 0.000000, -0.437672, -0.005808, -0.000307, -0.019832
0.000000, 2, -0.387451, 0.000000, -0.353848, -0.010723, -0.000633, -0.019832
0.000000, 3, -0.387451, 0.000000, -0.286553, -0.018074, -0.001095, -0.019832
0.000000, 4, -0.387451, 0.000000, -0.232528, -0.027662, -0.001690, -0.019832
0.000000, 5, -0.387451, 0.000000, -0.189155, -0.038995, -0.002389, -0.019832
0.000000, 6, -0.387451, 0.000000, -0.154335, -0.051400, -0.003153, -0.019832
0.000000, 7, -0.387451, 0.000000, -0.126380, -0.064173, -0.003938, -0.019832
0.000000, 8, -0.387451, 0.000000, -0.103938, -0.076695, -0.004708, -0.019832
0.000000, 9, -0.387451, 0.000000, -0.085921, -0.088497, -0.005434, -0.019832
0.000000, 10, -0.387451, 0.000000, -0.071457, -0.099276, -0.006096, -0.019832
0.000000, 11, -0.387451, 0.000000, -0.059844, -0.108873, -0.006686, -0.019832
0.000000, 12, -0.387451, 0.000000, -0.050522, -0.117246, -0.007201, -0.019832
0.000000, 13, -0.387451, 0.000000, -0.043038, -0.124432, -0.007642, -0.019832
0.000000, 14, -0.387451, 0.000000, -0.037029, -0.130518, -0.008016, -0.019832
0.000000, 15, -0.387451, 0.000000, -0.032206, -0.135619, -0.008330, -0.019832
0.000000, 16, -0.387451, 0.000000, -0.028333, -0.139858, -0.008590, -0.019832
0.000000, 17, -0.387451, 0.000000, -0.025224, -0.143357, -0.008805, -0.019832
0.000000, 18, -0.387451, 0.000000, -0.022728, -0.146230, -0.008982, -0.019832
0.000000, 19, -0.387451, 0.000000, -0.020724, -0.148577, -0.009126, -0.019832
0.000000, 0, -0.384363, 0.000000, -0.542081, -0.003286, -0.000122, -0.019797
0.000000, 1, -0.384363, 0.000000, -0.437662, -0.005798, -0.000429, -0.019797
0.000000, 2, -0.384363, 0.000000, -0.353834, -0.010705, -0.000886, -0.019797
0.000000, 3, -0.384363, 0.000000, -0.286535, -0.018044, -0.001533, -0.019797
0.000000, 4, -0.384363, 0.000000, -0.232506, -0.027617, -0.002364, -0.019797
