"Time","layer","Points:0","Points:1","Points:2","u.x","u.z","eta"
100.000000, 0, -0.394397, 0.000000, -0.583199, -0.000542, -0.000330, -0.004361
100.000000, 1, -0.394397, 0.000000, -0.550418, -0.000578, -0.000995, -0.004361
100.000000, 2, -0.394397, 0.000000, -0.519236, -0.000646, -0.001691, -0.004361
100.000000, 3, -0.394397, 0.000000, -0.489574, -0.000746, -0.002447, -0.004361
100.000000, 4, -0.394397, 0.000000, -0.461360, -0.000874, -0.003293, -0.004361
100.000000, 5, -0.394397, 0.000000, -0.434522, -0.001046, -0.004248, -0.004361
100.000000, 6, -0.394397, 0.000000, -0.408993, -0.001241, -0.005306, -0.004361
100.000000, 7, -0.394397, 0.000000, -0.384709, -0.001425, -0.006515, -0.004361
100.000000, 8, -0.394397, 0.000000, -0.361610, -0.001622, -0.007930, -0.004361
100.000000, 9, -0.394397, 0.000000, -0.339638, -0.001867, -0.009541, -0.004361
100.000000, 10, -0.394397, 0.000000, -0.318737, -0.002166, -0.011382, -0.004361
100.000000, 11, -0.394397, 0.000000, -0.298856, -0.002496, -0.013383, -0.004361
100.000000, 12, -0.394397, 0.000000, -0.279945, -0.002797, -0.015525, -0.004361
100.000000, 13, -0.394397, 0.000000, -0.261957, -0.003237, -0.017945, -0.004361
100.000000, 14, -0.394397, 0.000000, -0.244846, -0.003729, -0.020712, -0.004361
100.000000, 15, -0.394397, 0.000000, -0.228569, -0.004217, -0.023709, -0.004361
100.000000, 16, -0.394397, 0.000000, -0.213087, -0.004564, -0.026836, -0.004361
100.000000, 17, -0.394397, 0.000000, -0.198359, -0.004863, -0.030225, -0.004361
100.000000, 18, -0.394397, 0.000000, -0.184351, -0.005299, -0.033913, -0.004361
100.000000, 19, -0.394397, 0.000000, -0.171025, -0.005855, -0.037810, -0.004361
100.000000, 20, -0.394397, 0.000000, -0.158350, -0.006469, -0.041900, -0.004361
100.000000, 21, -0.394397, 0.000000, -0.146293, -0.007053, -0.046181, -0.004361
100.000000, 22, -0.394397, 0.000000, -0.134824, -0.007590, -0.050623, -0.004361
100.000000, 23, -0.394397, 0.000000, -0.123914, -0.008086, -0.055211, -0.004361
100.000000, 24, -0.394397, 0.000000, -0.113537, -0.008515, -0.059922, -0.004361
100.000000, 25, -0.394397, 0.000000, -0.103666, -0.009024, -0.064789, -0.004361
100.000000, 26, -0.394397, 0.000000, -0.094276, -0.009638, -0.069777, -0.004361
100.000000, 27, -0.394397, 0.000000, -0.085344, -0.009757, -0.074746, -0.004361
100.000000, 28, -0.394397, 0.000000, -0.076848, -0.009935, -0.079800, -0.004361
100.000000, 29, -0.394397, 0.000000, -0.068767, -0.010504, -0.085067, -0.004361
