"Time","layer","Points:0","Points:1","Points:2","u.x","u.z","eta"
100.000000, 0, -0.393625, 0.000000, -0.539273, -0.003079, -0.000021, -0.017474
100.000000, 1, -0.393625, 0.000000, -0.430323, -0.005791, -0.000081, -0.017474
100.000000, 2, -0.393625, 0.000000, -0.343803, -0.011139, -0.000203, -0.017474
100.000000, 3, -0.393625, 0.000000, -0.275097, -0.019084, -0.000454, -0.017474
100.000000, 4, -0.393625, 0.000000, -0.220535, -0.029425, -0.000859, -0.017474
100.000000, 5, -0.393625, 0.000000, -0.177207, -0.041309, -0.001376, -0.017474
100.000000, 6, -0.393625, 0.000000, -0.142800, -0.053795, -0.001994, -0.017474
100.000000, 7, -0.393625, 0.000000, -0.115476, -0.066337, -0.002759, -0.017474
100.000000, 8, -0.393625, 0.000000, -0.093778, -0.078828, -0.003631, -0.017474
100.000000, 9, -0.393625, 0.000000, -0.076547, -0.091276, -0.004542, -0.017474
100.000000, 10, -0.393625, 0.000000, -0.062864, -0.103897, -0.005474, -0.017474
100.000000, 11, -0.393625, 0.000000, -0.051998, -0.115994, -0.006384, -0.017474
100.000000, 12, -0.393625, 0.000000, -0.043369, -0.126246, -0.007225, -0.017474
100.000000, 13, -0.393625, 0.000000, -0.036516, -0.134076, -0.007968, -0.017474
100.000000, 14, -0.393625, 0.000000, -0.031074, -0.139720, -0.008598, -0.017474
100.000000, 15, -0.393625, 0.000000, -0.026753, -0.143974, -0.009120, -0.017474
100.000000, 16, -0.393625, 0.000000, -0.023321, -0.147599, -0.009554, -0.017474
100.000000, 17, -0.393625, 0.000000, -0.020596, -0.150888, -0.009914, -0.017474
100.000000, 18, -0.393625, 0.000000, -0.018432, -0.153815, -0.010204, -0.017474
100.000000, 0, -0.390538, 0.000000, -0.539272, -0.003077, -0.000058, -0.017461
100.000000, 1, -0.390538, 0.000000, -0.430319, -0.005787, -0.000209, -0.017461
100.000000, 2, -0.390538, 0.000000, -0.343797, -0.011130, -0.000471, -0.017461
100.000000, 3, -0.390538, 0.000000, -0.275089, -0.019065, -0.000919, -0.017461
100.000000, 4, -0.390538, 0.000000, -0.220526, -0.029389, -0.001578, -0.017461
100.000000, 5, -0.390538, 0.000000, -0.177197, -0.041254, -0.002394, -0.017461
100.000000, 6, -0.390538, 0.000000, -0.142789, -0.053709, -0.003339, -0.017461
100.000000, 7, -0.390538, 0.000000, -0.115465, -0.066207, -0.004436, -0.017461
100.000000, 8, -0.390538, 0.000000, -0.093766, -0.078659, -0.005631, -0.017461
100.000000, 9, -0.390538, 0.000000, -0.076535, -0.091063, -0.006842, -0.017461
100.000000, 10, -0.390538, 0.000000, -0.062851, -0.103636, -0.008043, -0.017461
100.000000, 11, -0.390538, 0.000000, -0.051985, -0.115694, -0.009196, -0.017461
100.000000, 12, -0.390538, 0.000000, -0.043355, -0.125905, -0.010253, -0.017461
100.000000, 13, -0.390538, 0.000000, -0.036503, -0.133698, -0.011184, -0.017461
100.000000, 14, -0.390538, 0.000000, -0.031061, -0.139315, -0.011968, -0.017461
100.000000, 15, -0.390538, 0.000000, -0.026739, -0.143546, -0.012616, -0.017461
100.000000, 16, -0.390538, 0.000000, -0.023308, -0.147152, -0.013154, -0.017461
100.000000, 17, -0.390538, 0.000000, -0.020583, -0.150424, -0.013600, -0.017461
100.000000, 18, -0.390538, 0.000000, -0.018418, -0.153336, -0.013963, -0.017461
100.000000, 0, -0.387451, 0.000000, -0.539270, -0.003073, -0.000095, -0.017438
100.000000, 1, -0.387451, 0.000000, -0.430312, -0.005779, -0.000338, -0.017438
100.000000, 2, -0.387451, 0.000000, -0.343787, -0.011114, -0.000739, -0.017438
100.000000, 3, -0.387451, 0.000000, -0.275076, -0.019034, -0.001384, -0.017438
100.000000, 4, -0.387451, 0.000000, -0.220512, -0.029336, -0.002296, -0.017438
100.000000, 5, -0.387451, 0.000000, -0.177181, -0.041175, -0.003409, -0.017438
100.000000, 6, -0.387451, 0.000000, -0.142771, -0.053593, -0.004681, -0.017438
100.000000, 7, -0.387451, 0.000000, -0.115446, -0.066040, -0.006109, -0.017438
100.000000, 8, -0.387451, 0.000000, -0.093746, -0.078444, -0.007623, -0.017438
100.000000, 9, -0.387451, 0.000000, -0.076515, -0.090799, -0.009134, -0.017438
100.000000, 10, -0.387451, 0.000000, -0.062830, -0.103319, -0.010602, -0.017438
100.000000, 11, -0.387451, 0.000000, -0.051963, -0.115330, -0.011994, -0.017438
100.000000, 12, -0.387451, 0.000000, -0.043334, -0.125495, -0.013266, -0.017438
100.000000, 13, -0.387451, 0.000000, -0.036481, -0.133245, -0.014381, -0.017438
100.000000, 14, -0.387451, 0.000000, -0.031039, -0.138830, -0.015320, -0.017438
100.000000, 15, -0.387451, 0.000000, -0.026717, -0.143036, -0.016094, -0.017438
100.000000, 16, -0.387451, 0.000000, -0.023285, -0.146620, -0.016734, -0.017438
100.000000, 17, -0.387451, 0.000000, -0.020560, -0.149871, -0.017265, -0.017438
100.000000, 18, -0.387451, 0.000000, -0.018396, -0.152767, -0.017700, -0.017438
100.000000, 0, -0.384363, 0.000000, -0.539266, -0.003067, -0.000132, -0.017407
100.000000, 1, -0.384363, 0.000000, -0.430303, -0.005768, -0.000467, -0.017407
100.000000, 2, -0.384363, 0.000000, -0.343774, -0.011092, -0.001006, -0.017407
100.000000, 3, -0.384363, 0.000000, -0.275059, -0.018992, -0.001848, -0.017407
100.000000, 4, -0.384363, 0.000000, -0.220491, -0.029266, -0.003012, -0.017407
100.000000, 5, -0.384363, 0.000000, -0.177158, -0.041073, -0.004422, -0.017407
100.000000, 6, -0.384363, 0.000000, -0.142747, -0.053445, -0.006019, -0.017407
100.000000, 7, -0.384363, 0.000000, -0.115420, -0.065836, -0.007776, -0.017407
100.000000, 8, -0.384363, 0.000000, -0.093719, -0.078183, -0.009609, -0.017407
100.000000, 9, -0.384363, 0.000000, -0.076486, -0.090484, -0.011418, -0.017407
100.000000, 10, -0.384363, 0.000000, -0.062801, -0.102947, -0.013150, -0.017407
100.000000, 11, -0.384363, 0.000000, -0.051934, -0.114904, -0.014778, -0.017407
100.000000, 12, -0.384363, 0.000000, -0.043304, -0.125015, -0.016262, -0.017407
100.000000, 13, -0.384363, 0.000000, -0.036451, -0.132718, -0.017561, -0.017407
100.000000, 14, -0.384363, 0.000000, -0.031008, -0.138267, -0.018652, -0.017407
100.000000, 15, -0.384363, 0.000000, -0.026687, -0.142444, -0.019550, -0.017407
100.000000, 16, -0.384363, 0.000000, -0.023255, -0.146003, -0.020291, -0.017407
100.000000, 17, -0.384363, 0.000000, -0.020529, -0.149231, -0.020906, -0.017407
100.000000, 18, -0.384363, 0.000000, -0.018365, -0.152108, -0.021412, -0.017407
100.000000, 0, -0.381276, 0.000000, -0.539262, -0.003059, -0.000169, -0.017367
100.000000, 1, -0.381276, 0.000000, -0.430292, -0.005754, -0.000595, -0.017367
100.000000, 2, -0.381276, 0.000000, -0.343756, -0.011063, -0.001273, -0.017367
100.000000, 3, -0.381276, 0.000000, -0.275037, -0.018940, -0.002311, -0.017367
100.000000, 4, -0.381276, 0.000000, -0.220465, -0.029180, -0.003726, -0.017367
100.000000, 5, -0.381276, 0.000000, -0.177129, -0.040948, -0.005431, -0.017367
100.000000, 6, -0.381276, 0.000000, -0.142716, -0.053267, -0.007351, -0.017367
100.000000, 7, -0.381276, 0.000000, -0.115387, -0.065595, -0.009435, -0.017367
100.000000, 8, -0.381276, 0.000000, -0.093685, -0.077877, -0.011586, -0.017367
100.000000, 9, -0.381276, 0.000000, -0.076451, -0.090118, -0.013691, -0.017367
100.000000, 10, -0.381276, 0.000000, -0.062765, -0.102520, -0.015685, -0.017367
100.000000, 11, -0.381276, 0.000000, -0.051896, -0.114416, -0.017547, -0.017367
100.000000, 12, -0.381276, 0.000000, -0.043266, -0.124467, -0.019241, -0.017367
100.000000, 13, -0.381276, 0.000000, -0.036412, -0.132117, -0.020721, -0.017367
100.000000, 14, -0.381276, 0.000000, -0.030969, -0.137626, -0.021963, -0.017367
100.000000, 15, -0.381276, 0.000000, -0.026647, -0.141770, -0.022984, -0.017367
100.000000, 16, -0.381276, 0.000000, -0.023215, -0.145301, -0.023824, -0.017367
100.000000, 17, -0.381276, 0.000000, -0.020489, -0.148505, -0.024521, -0.017367
100.000000, 18, -0.381276, 0.000000, -0.018325, -0.151361, -0.025096, -0.017367
100.000000, 0, -0.378189, 0.000000, -0.539257, -0.003050, -0.000206, -0.017318
100.000000, 1, -0.378189, 0.000000, -0.430277, -0.005736, -0.000723, -0.017318
100.000000, 2, -0.378189, 0.000000, -0.343735, -0.011028, -0.001539, -0.017318
100.000000, 3, -0.378189, 0.000000, -0.275010, -0.018876, -0.002772, -0.017318
100.000000, 4, -0.378189, 0.000000, -0.220434, -0.029077, -0.004437, -0.017318
100.000000, 5, -0.378189, 0.000000, -0.177094, -0.040800, -0.006437, -0.017318
100.000000, 6, -0.378189, 0.000000, -0.142677, -0.053058, -0.008677, -0.017318
100.000000, 7, -0.378189, 0.000000, -0.115346, -0.065316, -0.011086, -0.017318
100.000000, 8, -0.378189, 0.000000, -0.093642, -0.077525, -0.013552, -0.017318
100.000000, 9, -0.378189, 0.000000, -0.076407, -0.089702, -0.015952, -0.017318
100.000000, 10, -0.378189, 0.000000, -0.062720, -0.102039, -0.018206, -0.017318
100.000000, 11, -0.378189, 0.000000, -0.051851, -0.113867, -0.020301, -0.017318
100.000000, 12, -0.378189, 0.000000, -0.043219, -0.123851, -0.022203, -0.017318
100.000000, 13, -0.378189, 0.000000, -0.036365, -0.131444, -0.023861, -0.017318
100.000000, 14, -0.378189, 0.000000, -0.030922, -0.136908, -0.025251, -0.017318
100.000000, 15, -0.378189, 0.000000, -0.026599, -0.141017, -0.026392, -0.017318
100.000000, 16, -0.378189, 0.000000, -0.023167, -0.144518, -0.027329, -0.017318
100.000000, 17, -0.378189, 0.000000, -0.020441, -0.147693, -0.028107, -0.017318
100.000000, 18, -0.378189, 0.000000, -0.018276, -0.150526, -0.028750, -0.017318
100.000000, 0, -0.375102, 0.000000, -0.539251, -0.003039, -0.000242, -0.017261
100.000000, 1, -0.375102, 0.000000, -0.430261, -0.005715, -0.000851, -0.017261
100.000000, 2, -0.375102, 0.000000, -0.343710, -0.010986, -0.001804, -0.017261
100.000000, 3, -0.375102, 0.000000, -0.274978, -0.018802, -0.003232, -0.017261
